i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
4;6;Jauria;Emboscada;4246;13;9;Player;9;1;10;4;2;2;4;15;10;P:CazC=0/1/3/0/0 P:CazV=2/2/1/0/0 P:RecV=11/12/0/2/1 R:CazV=3/3/2/1/0 R:SeñV=2/2/0/1/2 R:RecC=4/5/0/2/8 
4;7;Jauria;Mixta;4246;14;4;Player;9;2;6;3;4;4;3;16;7;P:CazC=2/2/1/3/0 P:CazV=0/1/2/0/0 P:RecV=12/13/0/1/2 R:GuaC=0/0/2/0/0 R:CazC=0/2/2/2/0 R:RecV=4/5/0/1/6 
4;8;Jauria;Codicia;4246;16;13;Player;10;0;16;4;0;0;4;20;17;P:CazC=2/4/2/0/0 P:CazV=0/2/2/0/0 P:RecV=14/14/0/0/0 R:RecC=5/6/0/1/7 R:RecC=5/5/0/1/5 R:RecC=3/6/0/2/4 
4;9;Jauria;Escolta;4246;9;10;Rival;10;6;3;3;3;3;3;10;16;P:CazC=1/2/2/3/0 P:CazV=2/2/1/0/0 P:RecV=6/6/0/0/6 R:CazC=0/3/2/2/0 R:CazV=0/0/1/1/0 R:RecC=10/13/0/0/3 
4;10;Jauria;Senuelos;4246;14;8;Player;9;0;8;3;0;0;3;14;12;P:CazC=0/0/1/0/0 P:CazV=0/0/2/0/0 P:RecV=14/14/0/0/0 R:SeñC=0/0/0/3/2 R:SeñV=0/1/0/0/2 R:RecV=8/11/0/0/4 
4;11;Jauria;DobleGuardia;4246;18;11;Player;9;0;1;1;4;4;1;20;14;P:CazC=4/4/0/1/0 P:CazV=0/2/1/3/0 P:RecV=14/14/0/0/0 R:GuaC=0/0/1/0/0 R:GuaV=0/0/3/1/0 R:RecC=11/14/0/0/1 
4;12;Jauria;ContraJauria;4246;16;11;Player;10;1;2;3;4;4;3;18;16;P:CazC=4/4/0/1/0 P:CazV=2/3/3/2/0 P:RecV=10/11/0/1/1 R:GuaV=2/3/2/1/0 R:CazV=1/3/2/1/0 R:RecV=8/10/0/1/2 
4;13;Jauria;Fortin;4246;9;16;Rival;10;1;4;3;5;5;3;14;19;P:CazC=0/1/1/3/0 P:CazV=0/0/2/1/0 P:RecV=9/13/0/1/1 R:GuaC=0/2/3/0/0 R:CazV=7/8/2/2/0 R:RecC=9/9/0/1/4 
4;14;Jauria;Engano;4246;17;1;Player;10;0;16;7;0;0;7;20;5;P:CazC=1/1/6/0/0 P:CazV=2/4/1/0/0 P:RecV=14/15/0/0/0 R:SeñC=0/0/0/2/2 R:RecC=0/4/0/2/7 R:RecC=1/1/0/3/7 
4;15;Jauria;Rebano;4246;14;6;Player;10;0;17;7;0;0;7;15;10;P:CazC=0/1/5/0/0 P:CazV=0/0/2/0/0 P:RecV=14/14/0/0/0 R:RecC=3/4/0/4/6 R:RecV=3/4/0/2/8 R:SeñV=0/2/0/1/3 
