i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
8;2;Codicia;Jauria;4242;2;13;Rival;10;27;0;0;10;10;0;4;17;P:RecC=1/2/0/3/9 P:RecC=0/0/0/3/10 P:RecC=1/2/0/4/8 R:CazC=0/0/6/0/0 R:CazV=0/2/4/0/0 R:RecV=13/15/0/0/0 
8;3;Codicia;Hormiguero;4242;38;24;Player;9;0;0;0;0;0;0;43;31;P:RecC=14/15/0/0/0 P:RecC=12/14/0/0/0 P:RecC=12/14/0/0/0 R:RecV=6/9/0/0/0 R:RecV=11/13/0/0/0 R:RecV=7/9/0/0/0 
8;4;Codicia;HormigueroSenuelo;4242;20;23;Rival;9;18;0;0;0;0;0;20;23;P:RecC=6/6/0/0/6 P:RecC=7/7/0/0/6 P:RecC=7/7/0/0/6 R:RecV=11/11/0/0/0 R:RecV=12/12/0/0/0 R:SeñC=0/0/0/0/0 
8;5;Codicia;Senuelos;4242;17;15;Player;9;21;0;0;0;0;0;18;18;P:RecC=8/8/0/0/6 P:RecC=1/2/0/0/9 P:RecC=8/8/0/0/6 R:SeñC=0/0/0/0/0 R:SeñV=2/2/0/0/0 R:RecV=13/16/0/0/0 
8;6;Codicia;Engano;4242;27;26;Player;9;9;0;0;0;0;0;32;27;P:RecC=11/14/0/0/2 P:RecC=7/7/0/0/4 P:RecC=9/11/0/0/3 R:SeñC=1/1/0/0/0 R:RecC=12/12/0/0/0 R:RecC=13/14/0/0/0 
8;7;Codicia;Emboscada;4242;16;19;Rival;9;20;0;0;4;4;0;22;22;P:RecC=6/7/0/2/8 P:RecC=4/7/0/1/6 P:RecC=6/8/0/1/6 R:CazV=2/4/4/0/0 R:SeñV=2/3/0/0/0 R:RecC=15/15/0/0/0 
8;8;Codicia;Codicia;4242;38;35;Player;9;0;0;0;0;0;0;38;36;P:RecC=12/12/0/0/0 P:RecC=12/12/0/0/0 P:RecC=14/14/0/0/0 R:RecC=14/14/0/0/0 R:RecC=9/10/0/0/0 R:RecC=12/12/0/0/0 
8;9;Codicia;Mixta;4242;4;13;Rival;10;29;0;0;9;9;0;4;16;P:RecC=1/1/0/1/10 P:RecC=2/2/0/5/9 P:RecC=1/1/0/3/10 R:GuaC=0/0/1/0/0 R:CazC=0/0/8/0/0 R:RecV=13/16/0/0/0 
9;0;Mixta;Muralla;4242;14;16;Rival;10;1;10;7;7;7;7;17;17;P:GuaC=0/0/5/4/0 P:CazC=1/1/2/3/0 P:RecV=13/16/0/0/1 R:GuaC=0/0/7/4/0 R:RecC=9/9/0/1/5 R:RecC=7/8/0/2/5 
9;1;Mixta;Fortin;4242;13;9;Player;10;0;5;10;7;7;10;16;9;P:GuaC=0/0/7/5/0 P:CazC=0/0/3/2/0 P:RecV=13/16/0/0/0 R:GuaC=0/0/7/5/0 R:CazV=0/0/0/4/0 R:RecC=9/9/0/1/5 
9;2;Mixta;Jauria;4242;15;17;Rival;10;2;1;7;2;2;7;16;17;P:GuaC=0/0/6/0/0 P:CazC=2/3/1/1/0 P:RecV=13/13/0/1/2 R:CazC=0/0/1/5/0 R:CazV=4/4/1/2/0 R:RecV=13/13/0/0/1 
9;3;Mixta;Hormiguero;4242;19;20;Rival;9;0;6;2;0;0;2;20;21;P:GuaC=4/4/0/0/0 P:CazC=2/3/2/0/0 P:RecV=13/13/0/0/0 R:RecV=8/8/0/0/2 R:RecV=6/7/0/1/2 R:RecV=6/6/0/1/2 
9;4;Mixta;HormigueroSenuelo;4242;19;17;Player;9;1;5;7;0;0;7;22;19;P:GuaC=2/2/6/0/0 P:CazC=4/5/1/0/0 P:RecV=13/15/0/0/1 R:RecV=8/9/0/0/2 R:RecV=9/10/0/1/2 R:SeñC=0/0/0/6/1 
9;5;Mixta;Senuelos;4242;17;17;None;9;0;8;6;0;0;6;20;17;P:GuaC=0/0/5/0/0 P:CazC=4/4/1/0/0 P:RecV=13/16/0/0/0 R:SeñC=0/0/0/4/4 R:SeñV=4/4/0/1/1 R:RecV=13/13/0/1/3 
9;6;Mixta;Engano;4242;13;1;Player;10;0;22;8;0;0;8;17;2;P:GuaC=0/0/2/0/0 P:CazC=0/1/6/0/0 P:RecV=13/16/0/0/0 R:SeñC=0/0/0/1/4 R:RecC=0/1/0/5/9 R:RecC=1/1/0/2/9 
9;7;Mixta;Emboscada;4242;10;7;Player;10;4;8;8;1;1;8;11;9;P:GuaC=0/0/4/0/0 P:CazC=3/3/4/0/0 P:RecV=7/8/0/1/4 R:CazV=4/5/1/2/0 R:SeñV=3/3/0/0/1 R:RecC=0/1/0/6/7 
9;8;Mixta;Codicia;4242;15;5;Player;10;0;27;12;0;0;12;18;7;P:GuaC=0/0/8/0/0 P:CazC=2/2/4/0/0 P:RecV=13/16/0/0/0 R:RecC=0/1/0/4/10 R:RecC=5/5/0/2/8 R:RecC=0/1/0/6/9 
9;9;Mixta;Mixta;4242;12;13;Rival;10;1;0;9;8;8;9;16;16;P:GuaC=0/0/6/4/0 P:CazC=2/2/3/3/0 P:RecV=10/14/0/1/1 R:GuaC=0/0/7/5/0 R:CazC=0/0/1/4/0 R:RecV=13/16/0/0/0 
0;0;Muralla;Muralla;4246;12;25;Rival;10;4;2;4;7;7;4;24;29;P:GuaC=0/1/4/3/0 P:RecC=6/10/0/2/4 P:RecC=6/13/0/2/0 R:GuaC=0/2/7/3/0 R:RecC=13/13/0/1/1 R:RecC=12/14/0/0/1 
0;1;Muralla;Fortin;4246;6;15;Rival;10;7;1;7;10;10;7;15;19;P:GuaC=0/0/7/3/0 P:RecC=3/10/0/4/3 P:RecC=3/5/0/3/4 R:GuaC=0/0/7/4/0 R:CazV=3/6/3/2/0 R:RecC=12/13/0/1/1 
0;2;Muralla;Jauria;4246;15;15;None;10;8;0;7;1;1;7;19;19;P:GuaC=0/0/7/0/0 P:RecC=8/10/0/1/3 P:RecC=7/9/0/0/5 R:CazC=0/1/1/4/0 R:CazV=2/4/0/3/0 R:RecV=13/14/0/0/0 
0;3;Muralla;Hormiguero;4246;33;30;Player;9;0;0;0;0;0;0;36;30;P:GuaC=6/6/0/0/0 P:RecC=12/15/0/0/0 P:RecC=15/15/0/0/0 R:RecV=10/10/0/0/0 R:RecV=9/9/0/0/0 R:RecV=11/11/0/0/0 
0;4;Muralla;HormigueroSenuelo;4246;26;21;Player;9;3;2;4;0;0;4;29;22;P:GuaC=2/2/4/0/0 P:RecC=12/12/0/0/2 P:RecC=12/15/0/0/1 R:RecV=12/12/0/0/1 R:RecV=9/10/0/0/0 R:SeñC=0/0/0/4/1 
0;5;Muralla;Senuelos;4246;22;15;Player;9;8;3;6;0;0;6;22;15;P:GuaC=0/0/6/0/0 P:RecC=11/11/0/0/4 P:RecC=11/11/0/0/4 R:SeñC=0/0/0/4/1 R:SeñV=2/2/0/2/1 R:RecV=13/13/0/0/1 
0;6;Muralla;Engano;4246;26;23;Player;9;1;3;4;0;0;4;28;26;P:GuaC=0/0/4/0/0 P:RecC=12/14/0/0/0 P:RecC=14/14/0/0/1 R:SeñC=0/2/0/3/1 R:RecC=10/11/0/1/1 R:RecC=13/13/0/0/1 
0;7;Muralla;Emboscada;4246;25;16;Player;9;4;2;1;1;1;1;27;20;P:GuaC=0/0/1/0/0 P:RecC=12/14/0/1/1 P:RecC=13/13/0/0/3 R:CazV=2/3/1/0/0 R:SeñV=2/4/0/0/1 R:RecC=12/13/0/1/1 
0;8;Muralla;Codicia;4246;29;11;Player;9;0;20;4;0;0;4;29;13;P:GuaC=0/0/4/0/0 P:RecC=14/14/0/0/0 P:RecC=15/15/0/0/0 R:RecC=3/4/0/2/7 R:RecC=3/3/0/1/7 R:RecC=5/6/0/1/6 
0;9;Muralla;Mixta;4246;20;13;Player;10;7;0;8;4;4;8;23;16;P:GuaC=0/0/8/3/0 P:RecC=12/13/0/0/3 P:RecC=8/10/0/1/4 R:GuaC=0/0/3/5/0 R:CazC=0/1/1/3/0 R:RecV=13/15/0/0/0 
1;0;Fortin;Muralla;4246;7;12;Rival;10;2;11;8;10;10;8;12;17;P:GuaC=0/0/7/4/0 P:CazV=1/3/1/2/0 P:RecC=6/9/0/4/2 R:GuaC=0/0/10/3/0 R:RecC=3/8/0/4/4 R:RecC=9/9/0/1/7 
1;1;Fortin;Fortin;4246;9;6;Player;10;5;5;8;6;6;8;11;13;P:GuaC=0/0/6/4/0 P:CazV=4/5/2/0/0 P:RecC=5/6/0/2/5 R:GuaC=0/0/6/3/0 R:CazV=2/4/0/3/0 R:RecC=4/9/0/2/5 
1;2;Fortin;Jauria;4246;9;4;Player;10;1;8;9;3;3;9;13;4;P:GuaC=0/0/6/1/0 P:CazV=0/0/3/0/0 P:RecC=9/13/0/2/1 R:CazC=0/0/2/4/0 R:CazV=1/1/1/3/0 R:RecV=3/3/0/2/8 
1;3;Fortin;Hormiguero;4246;25;22;Player;9;0;3;2;0;0;2;29;29;P:GuaC=4/5/0/0/0 P:CazV=6/8/2/0/0 P:RecC=15/16/0/0/0 R:RecV=5/10/0/2/1 R:RecV=9/9/0/0/1 R:RecV=8/10/0/0/1 
1;4;Fortin;HormigueroSenuelo;4246;23;12;Player;10;0;5;9;0;0;9;23;19;P:GuaC=2/2/7/0/0 P:CazV=6/6/2/0/0 P:RecC=15/15/0/0/0 R:RecV=6/11/0/1/2 R:RecV=6/8/0/1/3 R:SeñC=0/0/0/7/0 
1;5;Fortin;Senuelos;4246;15;4;Player;10;1;11;10;0;0;10;18;6;P:GuaC=0/2/5/0/0 P:CazV=0/1/5/0/0 P:RecC=15/15/0/0/1 R:SeñC=0/0/0/5/2 R:SeñV=0/2/0/1/2 R:RecV=4/4/0/4/7 
