i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
4;1;OsadosSociables;RosterB;4242;6;8;Rival;10;4;4;10;3;3;10;9;11;P:GuaC=0/0/8/0/0 P:GuaV=0/1/2/2/0 P:RecC=6/8/0/1/4 R:CazV=2/2/2/3/0 R:RecC=3/6/0/4/4 R:CazC=3/3/1/3/0 
4;2;OsadosSociables;TresTimidos;4242;17;20;Rival;9;0;7;1;0;0;1;17;28;P:GuaC=0/0/1/0/0 P:GuaV=5/5/0/0/0 P:RecC=12/12/0/0/0 R:RecC=3/8/0/1/5 R:RecV=8/9/0/0/1 R:RecV=9/11/0/0/1 
4;3;OsadosSociables;TresOsados;4242;4;6;Rival;11;7;0;7;6;6;7;9;8;P:GuaC=0/1/5/2/0 P:GuaV=0/4/2/3/0 P:RecC=4/4/0/1/7 R:CazC=1/1/1/4/0 R:CazV=5/6/2/1/0 R:CazV=0/1/3/2/0 
4;4;OsadosSociables;OsadosSociables;4242;11;8;Player;10;0;0;3;3;3;3;17;17;P:GuaC=0/0/3/2/0 P:GuaV=5/5/0/0/0 P:RecC=6/12/0/1/0 R:GuaC=0/0/3/0/0 R:GuaV=5/5/0/0/0 R:RecC=3/12/0/3/0 
4;5;OsadosSociables;TimidosSolitarios;4242;13;5;Player;10;1;4;7;0;0;7;16;10;P:GuaC=0/0/5/0/0 P:GuaV=4/4/2/0/0 P:RecC=9/12/0/0/1 R:SeñC=2/2/0/2/0 R:SeñV=0/0/0/4/1 R:RecC=3/8/0/1/3 
5;0;TimidosSolitarios;RosterA;4242;4;11;Rival;10;8;0;0;9;9;0;5;14;P:SeñC=0/0/0/4/1 P:SeñV=0/0/0/3/1 P:RecC=4/5/0/2/6 R:CazC=0/1/4/0/0 R:RecV=11/13/0/0/0 R:GuaV=0/0/5/0/0 
5;1;TimidosSolitarios;RosterB;4242;5;16;Rival;10;7;1;0;4;4;0;13;16;P:SeñC=2/4/0/1/1 P:SeñV=0/4/0/1/0 P:RecC=3/5/0/2/6 R:CazV=2/2/2/0/0 R:RecC=12/12/0/0/1 R:CazC=2/2/2/0/0 
5;2;TimidosSolitarios;TresTimidos;4242;12;19;Rival;9;0;12;0;0;0;0;12;24;P:SeñC=0/0/0/0/0 P:SeñV=0/0/0/0/0 P:RecC=12/12/0/0/0 R:RecC=7/7/0/0/4 R:RecV=5/8/0/0/5 R:RecV=7/9/0/0/3 
5;3;TimidosSolitarios;TresOsados;4242;2;6;Rival;10;12;0;0;4;4;0;9;8;P:SeñC=0/0/0/1/2 P:SeñV=0/4/0/1/2 P:RecC=2/5/0/2/8 R:CazC=0/1/2/0/0 R:CazV=4/4/0/0/0 R:CazV=2/3/2/0/0 
5;4;TimidosSolitarios;OsadosSociables;4242;9;12;Rival;9;8;0;0;3;3;0;9;14;P:SeñC=0/0/0/1/1 P:SeñV=0/0/0/2/3 P:RecC=9/9/0/0/4 R:GuaC=0/0/1/0/0 R:GuaV=0/0/2/0/0 R:RecC=12/14/0/0/0 
5;5;TimidosSolitarios;TimidosSolitarios;4242;11;12;Rival;9;3;3;0;0;0;0;13;14;P:SeñC=0/0/0/0/0 P:SeñV=2/4/0/0/0 P:RecC=9/9/0/0/3 R:SeñC=0/0/0/0/1 R:SeñV=2/4/0/0/0 R:RecC=10/10/0/0/2 
0;0;RosterA;RosterA;4246;14;17;Rival;10;0;0;2;4;4;2;17;23;P:CazC=0/0/2/2/0 P:RecV=10/13/0/0/0 P:GuaV=4/4/0/2/0 R:CazC=1/4/2/2/0 R:RecV=10/13/0/0/0 R:GuaV=6/6/2/0/0 
0;1;RosterA;RosterB;4246;19;13;Player;9;0;1;1;2;2;1;21;16;P:CazC=1/1/1/2/0 P:RecV=10/12/0/0/0 P:GuaV=8/8/0/0/0 R:CazV=0/1/0/1/0 R:RecC=11/11/0/0/1 R:CazC=2/4/2/0/0 
0;2;RosterA;TresTimidos;4246;17;18;Rival;9;0;8;3;0;0;3;20;22;P:CazC=3/3/3/0/0 P:RecV=8/11/0/0/0 P:GuaV=6/6/0/0/0 R:RecC=0/4/0/3/5 R:RecV=9/9/0/0/1 R:RecV=9/9/0/0/2 
0;3;RosterA;TresOsados;4246;11;5;Player;10;2;0;6;8;8;6;12;9;P:CazC=0/0/1/3/0 P:RecV=11/11/0/0/2 P:GuaV=0/1/5/5/0 R:CazC=3/4/3/1/0 R:CazV=2/3/2/2/0 R:CazV=0/2/3/3/0 
0;4;RosterA;OsadosSociables;4246;16;12;Player;10;0;4;3;3;3;3;21;13;P:CazC=0/1/3/3/0 P:RecV=10/13/0/0/0 P:GuaV=6/7/0/0/0 R:GuaC=0/1/3/3/0 R:GuaV=6/6/0/0/0 R:RecC=6/6/0/0/4 
0;5;RosterA;TimidosSolitarios;4246;11;5;Player;9;2;10;4;0;0;4;12;5;P:CazC=0/1/1/0/0 P:RecV=11/11/0/0/2 P:GuaV=0/0/3/0/0 R:SeñC=0/0/0/0/2 R:SeñV=0/0/0/3/2 R:RecC=5/5/0/1/6 
1;0;RosterB;RosterA;4246;10;13;Rival;10;2;1;1;4;4;1;17;16;P:CazV=2/2/1/1/0 P:RecC=6/9/0/1/2 P:CazC=2/6/0/2/0 R:CazC=0/0/3/0/0 R:RecV=9/12/0/0/1 R:GuaV=4/4/1/1/0 
1;1;RosterB;RosterB;4246;8;11;Rival;9;3;3;1;2;2;1;11;16;P:CazV=2/2/0/0/0 P:RecC=6/9/0/1/3 P:CazC=0/0/1/1/0 R:CazV=2/4/0/0/0 R:RecC=9/10/0/0/3 R:CazC=0/2/2/1/0 
1;2;RosterB;TresTimidos;4246;14;5;Player;9;0;17;4;0;0;4;19;11;P:CazV=0/2/2/0/0 P:RecC=12/14/0/0/0 P:CazC=2/3/2/0/0 R:RecC=3/6/0/2/5 R:RecV=1/2/0/0/6 R:RecV=1/3/0/2/6 
