i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
3;7;Hormiguero;Emboscada;4246;9;19;Rival;10;19;0;0;8;8;0;14;21;P:RecV=6/6/0/1/5 P:RecV=1/4/0/4/7 P:RecV=2/4/0/3/7 R:CazV=0/2/8/0/0 R:SeñV=4/4/0/0/0 R:RecC=15/15/0/0/0 
3;8;Hormiguero;Codicia;4246;28;38;Rival;9;0;0;0;0;0;0;31;41;P:RecV=10/10/0/0/0 P:RecV=7/10/0/0/0 P:RecV=11/11/0/0/0 R:RecC=12/13/0/0/0 R:RecC=14/14/0/0/0 R:RecC=12/14/0/0/0 
3;9;Hormiguero;Mixta;4246;28;24;Player;9;0;0;0;0;0;0;28;24;P:RecV=8/8/0/0/0 P:RecV=12/12/0/0/0 P:RecV=8/8/0/0/0 R:GuaC=4/4/0/0/0 R:CazC=6/6/0/0/0 R:RecV=14/14/0/0/0 
4;0;HormigueroSenuelo;Muralla;4246;22;29;Rival;9;1;2;0;5;5;0;24;32;P:RecV=10/10/0/0/0 P:RecV=12/14/0/0/0 P:SeñC=0/0/0/5/1 R:GuaC=2/2/5/0/0 R:RecC=12/15/0/0/2 R:RecC=15/15/0/0/0 
4;1;HormigueroSenuelo;Fortin;4246;16;23;Rival;10;2;2;0;7;7;0;24;25;P:RecV=10/13/0/1/1 P:RecV=6/11/0/1/0 P:SeñC=0/0/0/5/1 R:GuaC=4/4/5/0/0 R:CazV=8/8/2/0/0 R:RecC=11/13/0/0/2 
4;2;HormigueroSenuelo;Jauria;4246;17;19;Rival;9;5;0;0;6;6;0;20;20;P:RecV=9/10/0/1/3 P:RecV=7/9/0/3/1 P:SeñC=1/1/0/2/1 R:CazC=0/0/4/0/0 R:CazV=6/6/2/0/0 R:RecV=13/14/0/0/0 
4;3;HormigueroSenuelo;Hormiguero;4246;27;21;Player;9;0;1;0;0;0;0;32;24;P:RecV=10/13/0/0/0 P:RecV=11/13/0/0/0 P:SeñC=6/6/0/0/0 R:RecV=6/6/0/0/0 R:RecV=8/11/0/0/1 R:RecV=7/7/0/0/0 
4;4;HormigueroSenuelo;HormigueroSenuelo;4246;20;22;Rival;9;1;0;0;0;0;0;20;22;P:RecV=10/10/0/0/1 P:RecV=10/10/0/0/0 P:SeñC=0/0/0/0/0 R:RecV=11/11/0/0/0 R:RecV=11/11/0/0/0 R:SeñC=0/0/0/0/0 
4;5;HormigueroSenuelo;Senuelos;4246;21;23;Rival;9;0;0;0;0;0;0;22;23;P:RecV=11/11/0/0/0 P:RecV=10/10/0/0/0 P:SeñC=0/1/0/0/0 R:SeñC=2/2/0/0/0 R:SeñV=6/6/0/0/0 R:RecV=15/15/0/0/0 
4;6;HormigueroSenuelo;Engano;4246;22;19;Player;9;3;8;0;0;0;0;25;25;P:RecV=10/12/0/0/1 P:RecV=12/12/0/0/0 P:SeñC=0/1/0/0/2 R:SeñC=2/3/0/0/0 R:RecC=7/9/0/0/5 R:RecC=10/13/0/0/3 
4;7;HormigueroSenuelo;Emboscada;4246;11;16;Rival;9;14;1;0;4;4;0;12;19;P:RecV=3/4/0/2/6 P:RecV=6/6/0/1/7 P:SeñC=2/2/0/1/1 R:CazV=0/2/4/0/0 R:SeñV=2/3/0/0/0 R:RecC=14/14/0/0/1 
