i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
4;5;HormigueroSenuelo;Senuelos;4246;21;16;Player;9;3;1;0;0;0;0;23;19;P:RecV=8/8/0/0/2 P:RecV=13/14/0/0/0 P:SeñC=0/1/0/0/1 R:SeñC=0/0/0/0/1 R:SeñV=4/4/0/0/0 R:RecV=12/15/0/0/0 
4;6;HormigueroSenuelo;Engano;4246;21;17;Player;9;2;10;0;0;0;0;26;19;P:RecV=10/13/0/0/0 P:RecV=11/12/0/0/1 P:SeñC=0/1/0/0/1 R:SeñC=0/0/0/0/0 R:RecC=10/11/0/0/5 R:RecC=7/8/0/0/5 
4;7;HormigueroSenuelo;Emboscada;4246;6;13;Rival;9;11;4;0;6;6;0;11;15;P:RecV=3/3/0/4/7 P:RecV=3/8/0/2/4 P:SeñC=0/0/0/0/0 R:CazV=0/2/6/0/0 R:SeñV=2/2/0/0/1 R:RecC=11/11/0/0/3 
4;8;HormigueroSenuelo;Codicia;4246;21;31;Rival;9;0;11;0;0;0;0;28;31;P:RecV=11/14/0/0/0 P:RecV=10/13/0/0/0 P:SeñC=0/1/0/0/0 R:RecC=10/10/0/0/4 R:RecC=12/12/0/0/3 R:RecC=9/9/0/0/4 
4;9;HormigueroSenuelo;Mixta;4246;22;19;Player;9;3;0;0;3;3;0;24;19;P:RecV=12/12/0/0/0 P:RecV=10/12/0/0/0 P:SeñC=0/0/0/3/3 R:GuaC=2/2/1/0/0 R:CazC=2/2/2/0/0 R:RecV=15/15/0/0/0 
5;0;Senuelos;Muralla;4246;15;24;Rival;9;5;3;0;6;6;0;15;28;P:SeñC=0/0/0/4/3 P:SeñV=2/2/0/2/1 P:RecV=13/13/0/0/1 R:GuaC=0/0/6/0/0 R:RecC=12/13/0/0/2 R:RecC=12/15/0/0/1 
5;1;Senuelos;Fortin;4246;5;12;Rival;10;7;1;0;8;8;0;7;16;P:SeñC=0/0/0/2/1 P:SeñV=2/2/0/3/0 P:RecV=3/5/0/3/6 R:GuaC=0/1/5/0/0 R:CazV=0/1/3/0/0 R:RecC=12/14/0/0/1 
5;2;Senuelos;Jauria;4246;3;15;Rival;10;10;2;0;8;8;0;5;15;P:SeñC=0/0/0/2/2 P:SeñV=0/2/0/0/1 P:RecV=3/3/0/6/7 R:CazC=2/2/2/0/0 R:CazV=0/0/6/0/0 R:RecV=13/13/0/0/2 
5;3;Senuelos;Hormiguero;4246;25;21;Player;9;0;7;0;0;0;0;25;23;P:SeñC=6/6/0/0/0 P:SeñV=4/4/0/0/0 P:RecV=15/15/0/0/0 R:RecV=6/7/0/0/3 R:RecV=5/6/0/0/3 R:RecV=10/10/0/0/1 
5;4;Senuelos;HormigueroSenuelo;4246;23;24;Rival;9;0;1;0;0;0;0;23;25;P:SeñC=4/4/0/0/0 P:SeñV=7/7/0/0/0 P:RecV=12/12/0/0/0 R:RecV=11/12/0/0/0 R:RecV=11/11/0/0/0 R:SeñC=2/2/0/0/1 
